test_y,predicted_values
19471.832,18963.113
18344.824,18811.787
18057.64,18065.008
18503.521,18180.508
19645.492,19174.215
21829.154,20456.61
21504.543,22691.307
23067.605,23813.662
25654.824,25804.832
30388.451,27924.963
31674.473,32138.955
33336.83,33084.082
35322.43,34665.363
36104.93,35953.67
35362.562,36135.164
34620.195,34965.785
33877.824,33676.27
33135.457,32268.543
30319.26,30738.166
28018.486,28048.408
25893.416,26146.652
23965.21,24059.014
22822.148,22217.078
21728.062,21477.195
21396.479,21177.166
21337.395,21059.953
21592.5,20895.326
21809.014,21486.738
23187.922,22347.66
24160.916,23770.998
24908.943,24832.477
24623.486,26644.271
26683.451,27352.01
29070.916,29355.793
31625.281,30869.605
32910.035,33139.78
33752.465,34266.812
34534.65,34471.23
34030.984,34557.66
33527.324,33685.97
33023.66,33015.863
32542.395,32048.797
29936.197,30689.057
28435.916,28258.402
26647.922,27020.832
25029.79,25415.332
23386.973,23936.504
22120.422,22834.82
21192.219,21908.39
20942.852,21050.244
20176.762,20733.617
20314.262,20560.3
21817.43,21076.387
22037.64,22549.65
23187.043,23121.727
25400.527,24890.744
27035.492,27851.148
29003.346,29950.92
31614.543,31555.691
33423.906,33489.258
33284.895,35177.094
34077.008,34479.58
33484.473,34446.695
32891.938,33565.938
32299.402,32522.55
30388.027,31461.55
28358.309,29097.197
26843.486,26803.285
25471.338,25141.66
23747.43,23660.074
22235.457,21936.102
21148.31,20767.191
20685.775,19974.01
20662.043,19679.164
20862.36,19901.168
21147.113,20793.586
23549.93,21776.736
25412.57,23752.777
25059.049,25835.107
25962.219,26336.531
28612.148,27746.836
31803.873,30735.0
33708.555,33502.152
34584.117,34802.25
35000.844,35134.98
35515.14,35134.355
35590.316,34959.574
35004.86,34498.06
34035.527,33637.11
31742.605,32295.25
29561.373,29599.059
27059.895,27271.395
24727.29,24985.94
22423.275,22937.951
21706.62,20713.59
20240.986,20217.875
19831.902,19390.746
19233.062,19269.152
18748.557,19076.72
19095.105,19001.152
20920.81,19748.28
22381.303,21470.545
22371.127,22510.76
23726.232,23197.008
26685.633,25081.729
29153.627,28325.924
31238.416,30552.586
32554.543,31964.793
33425.703,32896.473
33971.797,33384.188
33110.3,33387.812
32248.803,32288.816
31387.307,31003.328
30525.81,29627.799
28665.562,28147.885
26845.74,26193.494
24838.557,24501.16
22825.457,22892.938
21962.219,21126.85
21027.535,20432.475
20574.084,20041.383
19606.338,19777.934
19108.098,19211.383
19260.527,19260.008
20390.916,19926.207
22228.592,20928.03
22725.387,22270.43
24907.64,23246.852
27545.14,25714.57
29802.113,28749.285
30999.19,30862.883
31486.092,31498.707
32476.549,31748.018
32919.684,32077.977
33611.516,31802.775
33210.176,32053.377
31343.451,31658.174
28713.521,29675.793
26835.562,26851.39
24809.824,24735.438
23114.543,22646.977
20642.395,21176.11
19239.648,19101.59
18393.697,17801.812
17718.662,17019.785
16871.725,16581.457
16837.57,16257.549
17118.31,16958.08
17839.19,17732.398
19268.135,18621.705
18851.867,19686.543
20613.908,19767.332
23444.084,21775.645
25657.29,24658.895
26973.31,26696.838
27937.184,27479.656
28799.473,28283.297
29292.465,28687.674
29037.125,28509.916
28781.785,27985.12
28526.443,27404.0
26027.64,26728.42
24100.527,24141.127
22134.895,22026.523
20663.1,20027.725
18981.832,18410.076
17808.768,16995.021
17272.992,16119.545
16179.26,15803.356
15046.619,15027.611
14655.282,14412.685
14523.415,14603.451
15751.515,15112.677
17112.324,16413.605
17422.29,17351.623
19647.605,18440.76
22330.846,21206.96
24498.908,24037.863
26685.633,25719.18
27358.768,27449.527
28575.773,28090.232
28991.443,28829.506
29288.238,28867.668
28985.422,28737.408
28682.605,27787.191
26097.078,26763.613
24478.979,24116.63
22922.184,22478.666
21248.662,21012.984
19719.895,19276.879
18509.79,17913.766
17624.79,16942.107
16606.338,16343.305
15674.12,15443.568
15065.881,15169.8955
15048.028,15147.844
15450.105,16058.798
16406.479,16649.887
17013.557,17450.803
18069.578,18719.564
20333.803,20691.838
21346.725,22892.652
23561.092,23642.568
25704.79,25281.115
26711.127,26983.393
26297.588,27582.092
25884.049,26617.281
25470.51,25711.158
25056.973,24700.535
24643.434,23899.783
24229.895,23392.277
22548.697,22883.64
21121.408,21408.24
19230.705,19931.525
17918.943,18322.113
17078.38,17435.664
16111.549,16586.754
15373.732,15630.049
14892.43,15215.348
15375.105,15272.519
15653.416,16260.818
16103.24,16766.344
17050.457,17461.574
18673.31,19160.512
22207.781,21483.74
25469.367,24955.436
27358.205,27931.328
28859.084,29318.35
30251.443,30086.102
31699.367,30842.98
30805.326,32042.527
29911.285,30719.791
29017.244,29236.656
28123.205,27970.25
26378.027,26881.84
24992.078,24849.783
23092.219,23388.91
21656.514,21576.703
20511.832,20231.96
19662.465,19647.414
19290.598,19143.24
18697.36,18767.375
18242.113,18221.426
18478.627,18348.893
20267.008,19161.88
22290.387,21105.107
22065.387,23374.424
23745.035,24204.645
27327.078,26796.318
30379.154,30007.963
33011.16,32732.559
34596.55,34962.836
36284.332,36137.707
37504.47,37051.14
36595.73,37235.43
35686.99,36105.316
34778.25,34489.12
33869.508,33129.566
31330.668,31768.26
29466.69,29109.918
27017.852,27215.36
24313.768,25054.828
23490.635,22662.713
22034.402,22080.705
20282.887,20941.926
20210.668,19460.082
19799.332,19535.71
20235.105,19736.15
22372.535,20996.848
24067.078,23463.682
23190.986,25220.695
25242.078,25487.31
28317.219,28127.143
30890.422,31310.305
33344.79,33424.855
34513.31,35294.383
35486.125,36016.63
36857.22,36212.145
36765.035,36534.055
36956.617,36045.81
35117.676,35574.633
32312.465,33488.0
30390.176,30332.9
27364.86,28028.781
25191.69,25373.805
22411.973,23033.596
20999.93,20523.56
19482.219,19571.857
18547.43,18359.344
18515.14,17853.008
18009.895,17948.68
18143.521,17990.89
19289.648,18968.8
20760.986,20330.848
21572.29,21543.113
22961.832,23216.98
26607.29,25242.191
28727.36,28975.066
30610.951,30933.848
32201.443,32490.95
33333.027,33585.797
34119.33,34240.0
33243.906,34369.71
32368.484,33103.18
