test_y,predicted_values
18092.67,18532.51
17662.08,17443.848
17345.469,17295.264
17107.35,17639.932
19826.95,17720.602
19630.67,19435.781
19162.719,19143.6
18683.52,18739.002
18201.28,18148.729
18097.799,17707.895
17966.049,17680.637
18745.365,17806.742
19524.682,18623.998
20303.998,19127.271
21083.312,20184.137
21862.629,21574.129
21037.799,22217.33
20212.969,21429.723
20877.92,20761.764
20652.049,21370.023
20820.78,21101.201
21024.25,21149.258
21058.02,20679.82
20741.5,20632.465
20413.95,20349.713
19847.33,19920.977
19029.92,19310.115
18386.129,18723.768
17844.379,18402.902
17040.379,17197.26
16450.549,16515.13
15999.27,16146.438
15050.629,15840.298
15359.686,15035.699
15668.742,15445.798
15977.799,16362.775
16045.499,16822.334
16359.249,16871.016
17182.719,17345.502
18339.92,18387.889
19767.42,19282.707
20743.328,20108.266
21091.95,21220.15
21477.95,21443.484
21573.82,21697.316
21559.078,21721.758
21507.549,21503.041
21215.28,21307.262
20942.5,20678.744
19726.469,20093.812
19603.148,18866.738
18735.549,18859.37
18191.898,18548.814
17434.129,17854.834
17007.398,17222.652
16594.7,16857.578
16835.416,16398.047
17076.13,16501.703
17316.848,16906.012
17557.562,17817.916
17798.28,18071.232
18442.469,18319.98
20004.77,19221.898
20921.25,21014.492
21064.129,21552.51
19702.5,21239.613
20327.049,20248.805
19613.0,20572.914
19039.03,19802.174
20745.85,19328.297
20596.33,20409.998
19968.78,20023.918
19525.85,19178.904
19166.7,18818.61
19450.2,18859.895
19448.25,19525.443
20033.139,19799.062
20618.03,20113.926
19863.45,20449.215
19506.57,19577.23
19036.43,19023.71
18734.25,18434.42
18710.42,18529.203
19114.799,18825.46
19328.879,19188.512
19250.014,19329.959
19171.148,19635.076
20532.0,19805.42
22280.35,20687.266
21364.67,21856.27
21721.398,21548.184
22004.0,21641.75
22447.219,22023.562
22328.398,22520.396
21823.828,22107.246
21248.799,21373.062
20417.08,20484.643
19935.28,19603.709
18044.95,19608.014
18504.93,18670.314
22006.379,19024.186
21101.33,21576.953
19900.1,20553.33
19720.148,19143.436
18955.92,18831.639
18679.379,18601.754
18529.0,18569.42
18834.898,18772.02
19709.67,19149.186
19056.184,19668.715
18402.7,19383.205
19793.479,19611.713
21037.148,20502.867
20425.68,20900.662
20512.299,20632.557
20980.35,20698.426
21115.75,21184.127
21262.7,21145.352
21082.17,20886.361
20810.469,20591.174
19987.578,19809.562
19415.969,19069.88
18609.379,19022.197
18961.1,19010.3
19503.266,19849.582
20045.434,19597.938
20587.6,19496.38
19793.78,19962.73
19130.898,19271.006
18867.17,18689.402
18803.879,18676.738
19401.0,19112.668
20264.578,19628.549
20096.162,20034.598
19927.746,20093.658
19759.33,20577.969
19885.215,20460.59
20011.1,20137.564
20682.549,20087.643
20944.25,20832.22
21279.42,21034.834
21411.6,21239.041
21216.398,21083.918
20706.648,20906.406
20106.299,20201.113
19393.02,19422.092
18470.568,18857.498
19277.549,18685.857
20024.79,19936.602
20772.03,20350.582
20317.2,20648.174
19454.469,19800.28
19229.148,19034.355
18887.979,19005.271
19003.7,18998.58
19221.2,19290.656
18814.648,19394.645
19002.916,18950.91
19191.184,19002.9
19379.45,19386.484
20824.1,19466.617
20157.479,20317.902
20109.75,20078.006
20317.53,20119.512
20364.75,20368.531
20196.18,20402.047
19908.75,20032.19
19483.83,19604.062
18784.03,18922.096
17956.25,17926.59
17180.45,17253.113
17233.148,17156.258
20310.969,17318.055
19528.219,19845.889
18995.898,19025.43
18736.78,18372.365
18378.68,18001.336
17896.549,17852.498
17530.1,17510.19
16815.58,17322.393
16895.0,16876.39
16980.693,16869.041
17066.387,17062.836
17152.08,17535.154
18008.129,17896.338
19004.469,18177.203
19815.92,19092.426
20176.45,19992.117
20419.129,20413.207
20225.102,20400.47
20031.076,19977.97
19837.049,19753.547
18696.18,19234.045
18231.33,17845.299
17472.6,17099.936
16841.35,16686.29
