test_y,predicted_values
1355.8823,1403.5885
1364.7058,1408.6989
1382.3529,1413.4705
1385.2941,1409.4573
1435.2941,1391.8931
1379.4117,1413.3745
1364.7058,1361.5626
1402.9412,1354.029
1326.4705,1393.8015
1382.3529,1373.1456
1411.7646,1428.4373
1470.5881,1448.3245
1454.4117,1490.3923
1438.2352,1463.375
1461.7646,1428.898
1420.5883,1425.071
1467.647,1365.6523
1473.5294,1376.2529
1388.2352,1398.1381
1341.1765,1358.7875
1400.0,1317.1709
1332.3529,1362.3557
1364.7058,1340.5547
1335.2941,1354.5651
1408.8235,1355.6895
1438.2352,1409.9431
1452.9412,1440.6797
1438.2352,1453.317
1367.647,1438.1952
1391.1764,1357.8468
1311.7646,1365.8496
1291.1765,1316.4282
1311.7646,1304.2695
1320.5881,1336.1272
1444.1177,1371.6405
1464.7058,1459.8652
1526.4706,1459.1667
1482.3529,1486.516
1502.9412,1437.6318
1473.5294,1438.6013
1455.8823,1448.3947
1402.9412,1425.8586
1447.0588,1392.0964
1458.8235,1399.5957
1314.7058,1418.6924
1347.0588,1315.3331
1297.0588,1329.881
1300.0,1315.2542
1350.0,1332.5603
1400.0,1375.5972
1426.4706,1410.644
1382.3529,1427.4077
1361.7646,1382.4515
1305.8823,1346.9685
1314.7058,1290.8748
1294.1177,1293.3525
1308.8235,1301.8154
1285.2941,1326.4138
1341.1765,1343.8036
1432.3529,1380.1069
1417.647,1442.7719
1411.7646,1424.2826
1317.647,1405.9517
1341.1765,1327.8481
1264.7058,1315.786
1276.4706,1260.5745
1208.8235,1251.373
1191.1764,1213.6578
1238.2352,1190.1425
1261.7646,1239.3622
1270.5881,1260.063
1241.1765,1287.137
1264.7058,1280.718
1320.5881,1294.8998
1402.9412,1331.5387
1373.5294,1375.2349
1400.0,1345.2562
1347.0588,1354.0574
1291.1765,1322.8497
1297.0588,1290.6038
1273.5293,1290.916
1267.647,1308.9591
1352.9412,1328.0449
1388.2352,1393.415
1432.3529,1402.3217
1414.7058,1417.7349
1405.8823,1392.7262
1376.4706,1378.702
1379.4117,1344.1831
1300.0,1329.1489
1238.2352,1287.9453
1276.4706,1242.5901
1294.1177,1267.5099
1226.4705,1289.7903
1276.4706,1240.2167
1214.7058,1276.5737
1270.5881,1262.5479
