test_y,predicted_values
32664.049,33134.086
31228.979,30498.443
29284.367,28620.52
27264.543,26965.047
25098.943,24905.338
22864.895,22881.79
21756.762,21104.395
20469.508,20229.402
19756.938,19447.133
19051.162,19235.73
19375.352,19333.21
20227.64,20016.43
21456.973,21079.66
21574.402,22445.426
22661.408,23643.951
25574.438,25273.127
28928.416,27839.467
29808.697,30663.135
31530.951,31413.916
32855.914,32532.305
32723.627,33585.523
32907.254,33072.344
33439.93,32605.781
32386.303,32335.555
29756.69,30832.314
27970.14,27958.326
26509.508,25883.621
25129.543,24358.73
23070.81,22882.682
22076.268,21294.969
20454.578,20360.512
19223.838,19123.863
18935.88,18269.898
18400.105,18459.73
18668.238,18652.602
18780.846,19181.475
20530.0,19878.29
22161.127,21562.877
21904.86,24264.377
23124.19,25320.695
24678.697,26076.146
27303.873,26382.746
29207.781,28222.09
28792.219,30180.156
29972.113,29928.66
29647.553,30405.049
29322.992,30041.484
28998.434,29134.344
28673.873,27825.35
26679.93,26997.432
25420.986,25040.885
24006.69,23459.016
22398.662,22097.34
20883.873,20796.428
19923.275,19632.363
19118.908,18953.477
17874.578,18473.86
17342.395,17818.05
17983.205,17938.559
19462.254,18996.414
19301.867,20468.98
20618.592,20565.824
23199.12,21970.777
25686.62,24725.814
27243.943,27281.705
29402.184,28827.32
30547.605,30572.701
31658.168,31344.95
32144.86,31947.414
32550.668,32084.205
32524.719,32323.266
31828.062,31885.168
30289.473,30802.777
27572.992,29133.807
26353.732,26312.326
25079.049,24734.898
23639.33,23531.951
22164.402,22459.725
21255.598,21413.438
20664.297,20502.96
20123.062,20102.365
19363.662,19998.83
19947.254,20155.4
21831.725,20928.408
22786.76,22527.863
23363.135,23733.953
25805.387,24919.594
28676.514,27514.871
30542.64,30168.562
32568.38,32085.047
34072.29,33525.234
35836.445,34641.89
36563.203,35805.527
37567.36,36230.77
37173.203,36993.75
36779.047,36124.633
34755.633,34717.348
32546.902,32336.898
31059.084,30187.625
27791.338,28577.836
25586.092,25948.059
23249.965,24108.465
21858.38,22443.957
20731.797,21298.602
20103.486,20412.406
19525.176,20164.475
19933.31,20518.053
21484.367,21021.275
23554.402,22238.846
24418.275,24137.203
25957.57,25951.371
29042.64,28024.574
32533.414,30817.152
34709.086,34026.156
35958.098,36079.926
37103.273,36912.48
39256.516,37729.336
39169.61,39121.086
39428.168,38798.266
38696.76,38001.082
35575.387,36359.88
32995.598,33164.28
30222.078,30516.97
28035.352,27760.32
