test_y,predicted_values
19301.85,18918.066
18726.92,18294.152
18032.25,18004.58
18226.42,18423.842
19572.148,18916.088
20917.879,19430.863
20459.03,20328.615
19697.95,20005.254
18931.049,19240.559
17710.719,18620.465
17866.18,17845.535
18497.78,17854.299
19071.83,18193.182
18291.773,18695.252
17511.719,18465.309
18857.2,18490.715
20029.979,19370.629
19255.219,20026.818
19596.17,19578.568
19983.379,19661.846
19528.719,20025.838
19743.35,19472.754
19324.2,19475.445
19058.53,18836.744
18092.67,18155.328
17662.08,17357.023
17345.469,17057.646
17107.35,17336.217
19826.95,17597.707
19630.67,19426.604
19162.719,18977.87
18683.52,18189.508
18201.28,17717.635
18097.799,17439.13
17966.049,17713.4
18745.365,17579.719
19524.682,18212.178
20303.998,18901.63
21083.312,20095.775
21862.629,21734.396
21037.799,22491.992
20212.969,21461.227
20877.92,20668.836
20652.049,21210.559
20820.78,20932.166
21024.25,20676.994
21058.02,20839.521
20741.5,20672.383
20413.95,20031.12
19847.33,19529.889
19029.92,19011.393
18386.129,18618.404
17844.379,18502.07
17040.379,17610.262
16450.549,16388.375
15999.27,15614.539
15050.629,15189.6455
15359.686,14651.672
15668.742,15325.083
15977.799,16100.966
16045.499,16735.627
16359.249,16994.736
17182.719,17533.906
18339.92,18416.562
19767.42,18853.438
20743.328,19668.223
21091.95,20895.416
21477.95,21248.73
21573.82,21509.482
21559.078,21496.93
21507.549,21271.98
21215.28,20799.395
20942.5,20353.99
19726.469,20039.191
19603.148,18918.871
18735.549,19142.93
18191.898,18953.998
17434.129,17974.71
17007.398,17019.016
16594.7,16483.29
16835.416,16109.212
17076.13,16587.111
17316.848,17313.387
17557.562,17783.025
17798.28,18048.73
18442.469,18488.89
20004.77,19295.783
20921.25,20927.193
21064.129,21422.459
19702.5,21302.12
20327.049,20268.96
19613.0,20450.5
19039.03,19865.377
20745.85,19241.104
20596.33,20515.018
19968.78,20181.76
19525.85,19445.27
19166.7,18947.998
19450.2,18804.172
19448.25,19203.756
20033.139,19578.682
20618.03,19917.816
19863.45,20205.234
19506.57,19492.635
19036.43,18991.81
18734.25,18723.455
18710.42,18799.67
19114.799,18846.682
19328.879,19261.535
19250.014,19493.256
19171.148,19579.23
20532.0,19726.35
22280.35,20529.344
21364.67,21769.217
21721.398,21515.127
22004.0,21541.838
22447.219,21974.89
22328.398,22468.92
21823.828,22219.549
21248.799,21296.002
20417.08,20481.123
19935.28,19993.932
18044.95,19806.852
18504.93,18695.953
22006.379,19127.703
21101.33,21688.0
19900.1,21009.258
19720.148,19621.18
18955.92,18960.145
