test_y,predicted_values
32278.41,30796.059
31515.176,29246.25
28459.684,28498.527
26636.021,26138.043
23556.795,24405.355
22724.402,21527.031
20749.19,20575.873
19614.824,19091.795
18633.027,18107.195
18054.79,17781.945
18234.438,17926.395
19144.473,18853.188
20638.275,19807.016
21522.29,21256.742
23937.71,22758.188
27107.71,25517.838
29529.578,28582.582
31664.33,31010.695
32711.303,32874.938
33732.992,33802.758
34833.906,34276.023
35950.703,34752.77
35888.906,35643.32
34945.105,35219.406
32664.049,33217.1
31228.979,30490.334
29284.367,28395.965
27264.543,26543.143
25098.943,24499.223
22864.895,22581.768
21756.762,20989.246
20469.508,20218.574
19756.938,19345.309
19051.162,19125.008
19375.352,19342.014
20227.64,20139.258
21456.973,21526.615
21574.402,23033.814
22661.408,24053.615
25574.438,24949.771
28928.416,27405.004
29808.697,30551.531
31530.951,31291.115
32855.914,32413.352
32723.627,33402.906
32907.254,33242.06
33439.93,32778.977
32386.303,32567.1
29756.69,31026.398
27970.14,28242.207
26509.508,26094.695
25129.543,24598.45
23070.81,23005.158
22076.268,21371.105
20454.578,20599.639
19223.838,19562.617
18935.88,18672.154
18400.105,18294.316
18668.238,18565.398
18780.846,19394.398
20530.0,20484.86
22161.127,22296.223
21904.86,24764.246
23124.19,25437.934
24678.697,25803.041
27303.873,26034.436
29207.781,28115.59
28792.219,30102.314
29972.113,29904.89
29647.553,30642.666
29322.992,30363.215
28998.434,29168.715
28673.873,27718.162
26679.93,27149.965
25420.986,25345.69
24006.69,23857.936
22398.662,22245.576
20883.873,20921.047
19923.275,19481.316
19118.908,18677.018
17874.578,18218.25
17342.395,17366.7
17983.205,17223.85
19462.254,18225.873
19301.867,19826.012
20618.592,20144.879
23199.12,21352.957
25686.62,24336.957
27243.943,27296.564
29402.184,28964.508
30547.605,30592.617
31658.168,31537.203
32144.86,32496.785
32550.668,32628.467
32524.719,32938.71
31828.062,32281.445
30289.473,30821.768
27572.992,29241.389
26353.732,26619.154
25079.049,24971.322
23639.33,23488.578
22164.402,22401.725
21255.598,21152.506
20664.297,20246.05
20123.062,19616.371
19363.662,19740.953
19947.254,19989.049
21831.725,21020.12
22786.76,22800.615
23363.135,23950.82
25805.387,24992.225
28676.514,27639.89
30542.64,30697.625
32568.38,32801.945
34072.29,33825.2
35836.445,34685.684
36563.203,35705.64
37567.36,35801.168
37173.203,36815.973
36779.047,36007.445
34755.633,34590.824
32546.902,32135.012
31059.084,30226.477
27791.338,28823.83
25586.092,26347.453
23249.965,24194.414
21858.38,22093.498
20731.797,20840.688
20103.486,19870.166
19525.176,19598.395
19933.31,19972.027
21484.367,20802.129
23554.402,22273.773
24418.275,24421.326
25957.57,26095.018
29042.64,27841.252
32533.414,31172.38
34709.086,35017.83
35958.098,36783.945
37103.273,37193.48
39256.516,38069.332
39169.61,39634.785
39428.168,39178.332
38696.76,38245.723
35575.387,36670.215
32995.598,33631.742
30222.078,30885.67
28035.352,27947.596
26391.373,26243.36
25586.338,25302.953
22777.922,24155.842
21774.648,22082.283
20648.732,21159.814
20139.297,20495.115
20369.93,20703.281
21356.338,21210.938
23359.93,22528.576
23725.986,24728.383
26195.775,26145.213
28667.816,28585.135
31635.951,31004.184
33951.094,33775.473
35844.86,35437.87
37594.65,36711.254
38997.887,38152.348
39337.324,39078.83
39350.35,39084.934
37485.914,38109.83
35555.457,35459.37
33035.883,32914.008
31397.078,30485.008
29089.154,28949.426
26799.824,27175.023
24787.254,25192.74
22772.746,23048.75
21538.346,21279.498
20353.908,20440.984
19737.078,19761.053
20005.281,19878.174
21972.184,20536.99
23625.951,22556.463
23311.514,24355.914
24373.451,25671.168
28490.598,27154.865
32611.021,30201.566
34368.484,33449.484
35154.613,35185.547
36464.367,36039.957
37295.246,36869.48
38334.156,37218.81
38159.93,37575.004
38110.492,36881.26
35677.71,35653.47
33321.617,33093.277
31100.035,30847.203
28479.19,28607.547
25797.887,26189.084
23387.5,23683.818
22671.725,21722.727
21313.31,21171.293
20659.613,20254.615
19979.719,19972.55
20045.562,20082.496
21044.12,20721.441
22079.154,21698.441
22703.346,22640.9
24855.598,24347.934
27542.57,26879.918
30168.451,29225.69
32298.627,31297.396
33808.695,32570.55
34799.79,33783.957
35692.36,34699.29
36350.35,35333.684
36230.105,35411.207
35203.027,34658.17
32993.414,32711.088
29868.31,29953.695
27487.816,27032.8
25506.092,24777.258
23675.105,23060.705
21569.014,21705.262
20353.275,20015.9
19790.387,18868.88
19214.648,18481.16
18277.5,18474.566
17816.797,18313.424
18772.254,18162.213
19402.5,18866.818
20744.014,19811.703
22974.965,22005.61
25610.035,24530.006
27436.795,27228.93
28837.008,28438.172
30273.379,29647.367
31280.492,31016.01
31995.457,31705.691
31261.453,31908.074
30527.447,30860.582
29793.441,29061.91
29059.438,27391.787
27082.36,26066.775
24928.17,24654.902
23757.605,22732.629
22057.184,21451.299
20538.346,19893.164
19763.697,18861.965
18635.21,18225.027
17681.902,17463.072
17494.684,16916.068
16842.113,17117.7
18179.648,17329.63
18295.0,18364.406
18932.113,19138.492
20503.346,20444.04
23363.486,22342.045
25099.824,24743.75
26974.754,26071.926
27715.281,27230.592
28012.605,27700.709
27431.443,27967.115
26850.281,27285.895
26269.12,26517.97
25687.957,25258.445
23909.438,24132.225
21942.395,22499.453
20664.79,20779.332
19742.078,19120.512
18504.578,17933.15
17424.684,17013.963
16745.635,16370.568
16611.338,15683.604
15577.888,15646.84
15478.697,15457.466
16506.057,15677.799
17407.992,17005.814
18338.416,18156.754
18817.676,19366.814
20989.402,20424.629
23475.74,22766.824
25903.486,24888.754
27863.979,26996.768
27790.387,28038.375
28202.29,27682.984
28654.438,27680.182
28733.168,27630.229
28929.402,27390.895
27913.943,27007.885
25995.035,25461.38
24263.275,23360.246
22281.62,21597.236
20697.57,20115.436
18989.084,18549.16
17829.473,17166.98
17070.598,16304.154
16588.557,15653.743
16083.662,15398.901
15615.704,15428.897
15346.162,15724.164
16066.654,16057.076
17153.309,16818.697
17303.908,17936.074
18915.07,19382.938
22081.268,21190.873
24803.592,23959.002
25575.633,26022.307
27296.76,26397.006
28362.324,27305.002
28970.105,28182.004
29302.781,28562.09
29278.557,28375.865
28409.367,27495.18
26317.5,26032.98
23998.662,23785.648
21977.887,21551.27
20656.725,19892.63
19331.268,18505.387
18257.43,17908.762
17114.824,17098.24
16421.303,16025.76
15760.704,15368.775
15413.415,15027.017
15264.93,15160.034
15974.789,15624.078
17162.43,16538.436
17670.387,17935.004
20261.127,19636.545
23660.492,22640.3
25949.367,25730.955
26949.543,28065.994
28254.93,28578.273
29835.916,29277.145
30579.473,30423.715
31762.29,30839.133
30851.678,31178.506
29941.068,29921.078
29030.457,28209.98
26743.062,26669.182
25127.465,24783.414
23203.697,23304.086
20811.057,21588.926
19679.543,19946.156
18426.057,18730.469
17618.592,17443.93
17177.008,16781.455
16609.086,16646.268
17505.316,16662.963
19028.346,17831.074
19999.86,19577.34
19259.049,21259.658
21947.008,22206.418
24975.352,24922.76
28118.627,27361.236
29869.225,30022.322
31261.725,31510.98
32763.838,32724.504
33104.367,33731.855
34309.754,33937.562
33300.81,34387.105
32291.867,33079.535
31282.922,31073.39
28981.832,29356.164
26646.797,27402.938
24633.592,25374.727
22588.557,23698.836
20623.662,21756.758
19895.703,20342.48
19471.832,19558.756
18344.824,19304.35
18057.64,18617.746
18503.521,18716.59
19645.492,19318.13
21829.154,20648.7
21504.543,22924.123
23067.605,24562.244
25654.824,26374.46
30388.451,28198.05
31674.473,31800.031
33336.83,33039.008
35322.43,34396.594
36104.93,35804.117
35362.562,36590.113
34620.195,35680.773
33877.824,34100.383
33135.457,32392.363
30319.26,30811.664
28018.486,28277.453
25893.416,26562.664
23965.21,24745.873
22822.148,22643.03
21728.062,21491.64
21396.479,20558.982
21337.395,20360.467
21592.5,20355.59
21809.014,21200.055
23187.922,22051.24
24160.916,23575.137
24908.943,24965.768
24623.486,26893.156
26683.451,27866.05
29070.916,29433.27
31625.281,30690.902
32910.035,32736.375
33752.465,33703.027
34534.65,34180.414
34030.984,34705.78
33527.324,33960.984
33023.66,32512.02
32542.395,31142.557
29936.197,29939.625
28435.916,28150.15
26647.922,26676.559
25029.79,25309.86
23386.973,23549.773
22120.422,22131.426
21192.219,21280.465
20942.852,20606.973
