test_y,predicted_values
1350.0,1283.4644
1464.7058,1396.3136
1505.8823,1490.0741
1523.5294,1521.8722
1482.3529,1506.9961
1450.0,1474.7565
1373.5294,1460.3418
1341.1765,1379.9307
1320.5881,1371.1462
1305.8823,1379.0295
1420.5883,1390.959
1458.8235,1458.4985
1511.7646,1488.5596
1529.4117,1509.6317
1488.2352,1502.7897
1497.0588,1448.3644
1473.5294,1419.1436
1364.7058,1374.6753
1385.2941,1310.9138
1338.2352,1328.2207
1311.7646,1319.9827
1332.3529,1320.0762
1338.2352,1320.1705
1361.7646,1334.0612
1355.8823,1398.0432
1364.7058,1412.9392
1382.3529,1416.0762
1385.2941,1416.9242
1435.2941,1393.3993
1379.4117,1393.5873
1364.7058,1358.5983
1402.9412,1353.0455
1326.4705,1399.4222
1382.3529,1375.0757
1411.7646,1424.2769
1470.5881,1441.4037
1454.4117,1480.1603
1438.2352,1457.3118
1461.7646,1424.6964
1420.5883,1424.6903
1467.647,1369.1829
1473.5294,1372.3909
1388.2352,1389.9572
1341.1765,1350.7454
1400.0,1324.504
1332.3529,1358.9211
1364.7058,1336.4453
1335.2941,1337.6824
1408.8235,1355.0334
1438.2352,1427.4093
1452.9412,1459.3893
1438.2352,1457.8918
1367.647,1435.2056
1391.1764,1355.6418
1311.7646,1352.1547
1291.1765,1296.6683
1311.7646,1296.9312
1320.5881,1340.0125
1444.1177,1380.2178
1464.7058,1457.1876
1526.4706,1451.1514
1482.3529,1484.1333
1502.9412,1440.5143
1473.5294,1442.9578
1455.8823,1450.0742
1402.9412,1429.6943
1447.0588,1387.7102
1458.8235,1390.2217
1314.7058,1420.0488
1347.0588,1325.884
1297.0588,1339.1877
1300.0,1325.1833
1350.0,1341.9495
1400.0,1372.6003
1426.4706,1407.88
1382.3529,1433.5448
1361.7646,1379.2632
1305.8823,1341.9199
1314.7058,1290.112
1294.1177,1298.9542
1308.8235,1314.6631
1285.2941,1351.1052
1341.1765,1365.8695
1432.3529,1381.4346
1417.647,1437.4465
1411.7646,1421.21
1317.647,1413.7046
1341.1765,1337.9242
1264.7058,1321.8778
1276.4706,1249.7855
1208.8235,1240.2428
1191.1764,1204.304
1238.2352,1170.8918
1261.7646,1220.0205
1270.5881,1242.7778
1241.1765,1280.6516
1264.7058,1285.2643
1320.5881,1301.8506
1402.9412,1337.6658
1373.5294,1374.3738
1400.0,1360.6626
1347.0588,1354.9568
1291.1765,1325.206
1297.0588,1286.0725
1273.5293,1296.0369
1267.647,1295.5099
1352.9412,1321.0938
1388.2352,1373.7218
1432.3529,1385.2926
1414.7058,1417.5913
1405.8823,1384.5365
1376.4706,1372.6384
1379.4117,1330.8447
1300.0,1306.0607
1238.2352,1269.6805
1276.4706,1232.6637
1294.1177,1258.2107
1226.4705,1292.0151
1276.4706,1247.0972
1214.7058,1290.4414
1270.5881,1284.3315
1355.8823,1322.2384
1476.4706,1373.9749
1488.2352,1439.2645
1417.647,1442.315
1452.9412,1381.42
1391.1764,1405.741
1420.5883,1366.8492
1329.4117,1394.729
1323.5293,1349.2664
1397.0588,1377.7898
1473.5294,1426.2169
1500.0,1459.4736
1467.647,1470.8663
1505.8823,1436.9957
1420.5883,1450.0188
1350.0,1381.6017
1244.1177,1300.2542
1726.4706,1233.4224
1489.7058,1532.4668
1252.9412,1449.0349
1191.1764,1304.5916
1217.647,1228.3933
1279.4116,1246.094
1297.0588,1300.9072
1367.647,1333.27
1441.1764,1423.4414
1476.4706,1460.4407
1502.9412,1447.7589
1420.5883,1439.7871
1344.1177,1386.7472
1388.2352,1338.1023
1341.1765,1368.5847
1358.8235,1373.4102
1432.3529,1412.7532
1541.1765,1457.3036
1517.647,1545.1074
1544.1177,1508.4292
1485.2941,1506.1439
1517.647,1432.3898
1455.8823,1450.0453
1308.8235,1404.5713
1291.1765,1340.3894
1258.8235,1262.5884
1326.4705,1218.9385
1258.8235,1277.7017
1323.5293,1269.596
1250.0,1328.0464
1355.8823,1311.8345
1376.4706,1413.0701
1497.0588,1420.0756
1455.8823,1480.6744
1435.2941,1437.3884
1426.4706,1417.9683
1405.8823,1431.8844
1282.3529,1414.8414
1282.3529,1314.4496
1326.4705,1318.378
1402.9412,1387.1482
1511.7646,1453.1573
1517.647,1502.1058
1532.3529,1506.1892
1538.2352,1494.7465
1473.5294,1458.269
1405.8823,1420.5944
1285.2941,1376.1656
1211.7646,1324.8965
1205.8823,1233.8381
1247.0588,1220.1282
1223.5293,1231.3577
1264.7058,1251.9268
1229.4117,1271.5872
1308.8235,1293.2341
1300.0,1369.7445
1435.2941,1369.3103
1497.0588,1432.9043
1520.5881,1469.4519
1485.2941,1492.9985
1429.4117,1454.9885
1382.3529,1417.7701
1347.0588,1390.2588
1314.7058,1391.2971
1405.8823,1391.4218
1502.9412,1454.2906
1541.1765,1525.5969
1538.2352,1536.1985
1479.4117,1506.0319
1523.5294,1436.9929
1385.2941,1450.5255
1444.1177,1354.3799
1376.4706,1413.44
1308.8235,1366.6936
1329.4117,1329.8962
1367.647,1333.9868
1323.5293,1364.5422
1305.8823,1351.4801
1355.8823,1364.6287
1541.1765,1434.9883
1591.1765,1570.6619
1608.8235,1589.9912
1505.8823,1580.0276
1447.0588,1495.204
1420.5883,1433.571
1402.9412,1403.3883
1408.8235,1396.3079
1402.9412,1431.9985
1529.4117,1476.6434
1617.647,1582.5795
1597.0588,1623.8688
1652.9412,1604.7968
1541.1765,1594.1353
1514.7058,1517.763
1505.8823,1463.4701
1417.647,1467.6891
1423.5293,1406.4061
1417.647,1390.6438
1470.5881,1395.734
1429.4117,1448.468
1332.3529,1429.364
1326.4705,1383.5771
1405.8823,1413.5979
1476.4706,1485.2495
1550.0,1528.9609
1558.8235,1557.9486
1367.647,1551.9556
1279.4116,1415.3217
1276.4706,1325.4312
1350.0,1305.4513
1326.4705,1367.6626
1311.7646,1395.0798
1473.5294,1429.8921
1508.8235,1539.4182
1582.3529,1542.7722
1541.1765,1570.8813
1511.7646,1529.7958
1476.4706,1497.6455
1452.9412,1443.7179
1447.0588,1417.1649
1473.5294,1431.7312
1488.2352,1441.7264
1502.9412,1460.4426
1494.1176,1463.9777
1494.1176,1469.4333
1520.5881,1505.7595
1561.7646,1543.0736
1552.9412,1597.2225
1558.8235,1585.9917
1547.0588,1547.1041
1558.8235,1492.2212
1482.3529,1497.3513
1423.5293,1462.0809
1447.0588,1454.5197
1429.4117,1466.462
1464.7058,1463.8547
1535.2941,1519.3943
1566.6666,1558.3252
1598.0392,1589.3722
1629.4117,1577.8656
1626.4706,1589.3901
1585.2941,1562.4309
