test_y,predicted_values
20357.1,20699.387
19521.75,19750.596
18563.45,19407.139
18368.6,19311.299
21209.78,19081.361
20292.85,20417.191
19414.398,20094.688
18557.799,19211.797
18152.379,17987.98
17830.164,17511.605
17507.95,17490.36
17995.549,17750.477
18752.898,18250.51
18158.59,18658.564
17564.28,18778.947
18392.03,18717.33
19313.398,19066.748
18340.898,19686.146
19133.1,19095.52
19860.07,19392.254
20600.799,19892.006
20740.799,20156.088
20362.5,20373.137
19976.629,20120.596
19145.33,19363.695
18516.08,18376.186
17654.0,18048.084
18368.469,18161.059
18957.262,18746.865
19546.057,18751.14
20134.85,18814.912
19229.85,19236.18
18616.398,18850.848
18071.45,18430.346
17876.818,18000.828
18142.5,18344.031
17669.52,18284.393
17837.41,17581.703
18005.299,17678.898
19693.28,18229.967
20858.1,19505.043
20149.719,20672.55
20278.75,20581.348
20394.57,20634.387
20616.67,20591.557
20735.379,20548.357
20494.979,20495.549
19902.049,20023.21
19301.85,19089.135
18726.92,18539.852
18032.25,18465.547
18226.42,18523.586
19572.148,18854.658
20917.879,19605.627
20459.03,20327.023
19697.95,19904.762
18931.049,19258.148
17710.719,18356.873
17866.18,17327.23
18497.78,17407.752
19071.83,18037.676
18291.773,18615.016
17511.719,18356.803
18857.2,18301.62
20029.979,19274.1
19255.219,20139.617
19596.17,20029.639
19983.379,20046.76
19528.719,19983.719
19743.35,19457.65
19324.2,19528.082
19058.53,19195.67
18092.67,18525.025
17662.08,17760.49
17345.469,17771.975
17107.35,18051.838
19826.95,17767.283
19630.67,19351.867
19162.719,19412.385
18683.52,18784.238
18201.28,18091.121
18097.799,17493.492
17966.049,17622.285
18745.365,17716.834
19524.682,18460.69
20303.998,19063.486
21083.312,20171.352
21862.629,21709.197
21037.799,22500.342
20212.969,21775.832
20877.92,20695.129
20652.049,21008.281
20820.78,20628.055
21024.25,20362.76
21058.02,20521.012
20741.5,20684.354
20413.95,19745.938
19847.33,19261.43
19029.92,19173.99
18386.129,19171.375
17844.379,18822.258
17040.379,17740.758
16450.549,16678.387
15999.27,15966.465
15050.629,15524.167
15359.686,15016.957
15668.742,15331.936
15977.799,15930.255
16045.499,16276.374
16359.249,16529.469
17182.719,17044.66
18339.92,17865.27
19767.42,18759.695
20743.328,19845.375
21091.95,20782.338
21477.95,21202.623
21573.82,21528.299
21559.078,21639.945
21507.549,21473.94
21215.28,21045.428
20942.5,20145.367
19726.469,19588.844
19603.148,18841.459
18735.549,18982.809
18191.898,18601.168
17434.129,17791.074
17007.398,16762.879
16594.7,16125.794
16835.416,15843.479
17076.13,16238.239
17316.848,16911.092
17557.562,17427.082
17798.28,17712.723
18442.469,18266.371
20004.77,19108.488
20921.25,20642.557
21064.129,21375.12
19702.5,21134.916
20327.049,20021.39
19613.0,20132.963
19039.03,19644.732
20745.85,18879.178
20596.33,20100.543
19968.78,20178.316
19525.85,19343.76
19166.7,18671.604
19450.2,18647.861
19448.25,19398.447
20033.139,19645.764
20618.03,20062.973
19863.45,20331.818
19506.57,19556.223
19036.43,18991.305
18734.25,18586.09
18710.42,18409.256
19114.799,18641.703
19328.879,19082.295
19250.014,19651.262
19171.148,19567.748
20532.0,19603.754
22280.35,20379.123
21364.67,21418.193
21721.398,21202.73
22004.0,21363.941
22447.219,21907.44
22328.398,22517.992
21823.828,22388.205
21248.799,21738.803
20417.08,20798.479
19935.28,20002.746
18044.95,19646.781
18504.93,18529.482
22006.379,18452.645
21101.33,20852.857
19900.1,20726.629
19720.148,19362.191
18955.92,18791.29
18679.379,18516.816
18529.0,18613.338
18834.898,18810.322
19709.67,19118.393
19056.184,19646.906
18402.7,19640.678
19793.479,19419.375
21037.148,20196.434
20425.68,21049.354
20512.299,20777.207
20980.35,20565.588
21115.75,20803.152
21262.7,20886.562
21082.17,20798.625
20810.469,20594.977
19987.578,20118.512
19415.969,19381.621
18609.379,18991.75
18961.1,19019.51
19503.266,19477.7
20045.434,19271.86
20587.6,19308.793
19793.78,19835.246
19130.898,19275.145
18867.17,18618.117
18803.879,18305.469
19401.0,18761.168
20264.578,19353.525
20096.162,19841.727
19927.746,20163.309
19759.33,20197.006
19885.215,19934.018
20011.1,19573.678
20682.549,19779.477
20944.25,20545.87
21279.42,20886.895
21411.6,20915.47
21216.398,20959.236
20706.648,20803.395
20106.299,19866.867
19393.02,19172.12
18470.568,18909.46
19277.549,18719.885
20024.79,19371.203
20772.03,19870.824
20317.2,20221.547
19454.469,19557.484
19229.148,18916.88
18887.979,18755.85
19003.7,18542.059
19221.2,18777.332
18814.648,18913.486
19002.916,18696.191
